game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Rugby League World Cup  Quarter Finals,England,1623,235,59%,33,14,7,7,7,2
Rugby League World Cup  Quarter Finals,Papua New Guinea,885,138,41%,17,3,12,9,9,4
