game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Womens Rugby League World Cup  Round 2,Australian Jillaroos,2117,254,80%,36,4,10,9,9,1
Womens Rugby League World Cup  Round 2,France Women,261,47,20%,6,0,13,9,9,6
