game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Rugby League World Cup  Round 2,Tonga,2038,239,56%,29,12,12,12,12,7
Rugby League World Cup  Round 2,Wales,1328,186,44%,23,10,11,8,8,3
