game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Rugby League Wheelchair World Cup  Round 1,Spain Wheelchair,603,125,39%,17,13,21,23,23,12
Rugby League Wheelchair World Cup  Round 1,Ireland Wheelchair,440,198,61%,31,17,10,11,11,5
