game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Womens Rugby League World Cup  Round 2,Papua New Guinea Orchids,1983,162,66%,31,11,15,13,13,3
Womens Rugby League World Cup  Round 2,Brazil Women,678,80,34%,12,8,13,13,13,5
