game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Womens Rugby League World Cup  Round 2,Kiwi Ferns,1897,183,53%,26,7,11,11,11,4
Womens Rugby League World Cup  Round 2,Cook Islands Women,1222,147,47%,22,12,8,7,7,4
