game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Rugby League Wheelchair World Cup  Round 2,France Wheelchair,625,111,41%,21,10,12,13,13,15
Rugby League Wheelchair World Cup  Round 2,Scotland Wheelchair,398,136,59%,21,9,12,11,11,5
