game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Rugby League World Cup  Semi Finals,England,1862,228,53%,33,12,10,8,8,5
Rugby League World Cup  Semi Finals,Samoa,1821,199,47%,29,15,9,6,6,8
