game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Rugby League World Cup  Round 1,Jamaica,1111,156,42%,28,6,9,6,6,4
Rugby League World Cup  Round 1,Ireland,2438,231,58%,29,20,21,13,13,4
