game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Rugby League Wheelchair World Cup  Round 2,Australia Wheelchair,629,141,40%,27,15,16,15,15,5
Rugby League Wheelchair World Cup  Round 2,Ireland Wheelchair,487,167,60%,27,16,10,9,9,7
