game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Rugby League World Cup  Round 3,Lebanon,1708,175,52%,27,11,13,13,13,5
Rugby League World Cup  Round 3,Jamaica,1063,166,48%,24,12,7,6,6,10
