game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Rugby League World Cup  Round 2,England,2092,233,52%,34,10,11,10,10,4
Rugby League World Cup  Round 2,France,1367,180,48%,36,8,8,4,4,1
