game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Rugby League World Cup  Round 3,Tonga,2065,185,64%,31,8,6,5,5,4
Rugby League World Cup  Round 3,Cook Islands,857,104,36%,18,4,5,2,2,5
