game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Rugby League World Cup  Round 3,Fiji,1678,180,59%,33,12,16,12,12,6
Rugby League World Cup  Round 3,Scotland,1164,141,41%,27,3,14,7,7,8
