game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Rugby League World Cup  Round 3,Australia,1874,209,59%,35,10,10,10,10,4
Rugby League World Cup  Round 3,Italy,1040,167,41%,23,4,9,8,8,5
