game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Rugby League Wheelchair World Cup  Round 3,France Wheelchair,826,201,66%,33,15,21,21,21,3
Rugby League Wheelchair World Cup  Round 3,USA Wheelchair,255,88,34%,14,12,14,15,15,6
