game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Rugby League World Cup  Round 1,Tonga,2001,210,52%,26,20,10,9,9,4
Rugby League World Cup  Round 1,Papua New Guinea,1683,204,48%,26,11,10,9,9,5
