game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Rugby League Wheelchair World Cup  Round 1,England Wheelchair,808,212,55%,24,30,20,22,22,12
Rugby League Wheelchair World Cup  Round 1,Australia Wheelchair,534,180,45%,24,2,16,15,15,10
