game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Womens Rugby League World Cup  Round 1,Kiwi Ferns,1836,207,55%,27,9,17,15,15,2
Womens Rugby League World Cup  Round 1,France Women,995,167,45%,22,4,7,6,6,5
