game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Rugby League Wheelchair World Cup  Semi Finals,England Wheelchair,917,156,62%,35,18,8,8,8,7
Rugby League Wheelchair World Cup  Semi Finals,Wales Wheelchair,224,93,38%,17,15,8,8,8,6
