game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Rugby League World Cup  Round 1,Scotland,1761,214,51%,32,16,13,11,11,5
Rugby League World Cup  Round 1,Italy,1765,216,49%,32,6,11,8,8,9
