game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Rugby League World Cup  Round 1,Australia,1773,186,52%,27,17,14,11,11,5
Rugby League World Cup  Round 1,Fiji,1203,169,48%,26,3,11,8,8,3
