game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Rugby League World Cup  Round 3,Papua New Guinea,1926,186,51%,27,13,17,12,12,6
Rugby League World Cup  Round 3,Wales,1477,193,49%,30,10,9,7,7,6
