game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Womens Rugby League World Cup  Round 3,Canada Ravens,1410,149,49%,21,4,16,13,13,4
Womens Rugby League World Cup  Round 3,Brazil Women,1240,150,51%,21,6,15,13,13,4
