game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Womens Rugby League World Cup  Round 1,England Women,1812,171,64%,29,11,12,10,10,2
Womens Rugby League World Cup  Round 1,Brazil Women,584,70,36%,13,6,10,8,8,4
