game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Rugby League Wheelchair World Cup  Semi Finals,France Wheelchair,669,128,52%,29,24,16,13,13,8
Rugby League Wheelchair World Cup  Semi Finals,Australia Wheelchair,429,131,48%,24,11,17,12,12,6
