game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Rugby League Wheelchair World Cup  Round 3,England Wheelchair,845,196,70%,38,15,10,11,11,2
Rugby League Wheelchair World Cup  Round 3,Ireland Wheelchair,176,72,30%,11,4,4,5,5,11
