game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Womens Rugby League World Cup  Round 3,Australian Jillaroos,1690,223,50%,27,4,16,15,15,7
Womens Rugby League World Cup  Round 3,Kiwi Ferns,1496,249,50%,32,5,7,5,5,4
