game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Womens Rugby League World Cup  Round 3,France Women,1170,169,47%,21,9,12,10,10,6
Womens Rugby League World Cup  Round 3,Cook Islands Women,1359,157,53%,23,7,12,12,12,7
