game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Rugby League Wheelchair World Cup  Round 3,Wales Wheelchair,538,140,54%,26,26,19,18,18,8
Rugby League Wheelchair World Cup  Round 3,Scotland Wheelchair,417,135,46%,18,8,14,17,17,9
