game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Rugby League World Cup  Round 2,Lebanon,1625,232,61%,39,12,11,9,9,6
Rugby League World Cup  Round 2,Ireland,1223,157,39%,22,12,18,16,16,11
