game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Rugby League Wheelchair World Cup  Round 1,Scotland Wheelchair,458,141,45%,20,12,22,24,24,5
Rugby League Wheelchair World Cup  Round 1,USA Wheelchair,512,118,55%,19,16,25,24,24,4
