game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Rugby League World Cup  Round 2,Papua New Guinea,1627,165,50%,31,13,8,7,7,8
Rugby League World Cup  Round 2,Cook Islands,1653,177,50%,30,18,8,5,5,7
