game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Rugby League World Cup  Round 2,Australia,2310,238,67%,37,12,8,7,7,1
Rugby League World Cup  Round 2,Scotland,673,109,33%,12,3,14,11,11,4
