game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Womens Rugby League World Cup  Semi Finals,England Women,1566,230,51%,28,2,9,7,7,3
Womens Rugby League World Cup  Semi Finals,Kiwi Ferns,1832,197,49%,23,8,15,14,14,3
