game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Rugby League World Cup  Quarter Finals,New Zealand,2037,207,51%,33,7,13,9,9,4
Rugby League World Cup  Quarter Finals,Fiji,1430,180,49%,29,4,10,7,7,5
