game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Womens Rugby League World Cup  Semi Finals,Australian Jillaroos,2003,198,61%,27,9,14,13,13,3
Womens Rugby League World Cup  Semi Finals,Papua New Guinea Orchids,755,106,39%,14,2,10,9,9,3
