game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Womens Rugby League World Cup  Round 1,Australian Jillaroos,1961,178,63%,28,10,9,8,8,1
Womens Rugby League World Cup  Round 1,Cook Islands Women,711,99,37%,13,9,10,8,8,2
