game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Rugby League World Cup  Round 1,New Zealand,1743,195,53%,30,14,15,11,11,7
Rugby League World Cup  Round 1,Lebanon,1120,172,47%,30,7,13,10,10,8
