game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Rugby League World Cup  Quarter Finals,Australia,1957,175,52%,28,12,14,14,14,4
Rugby League World Cup  Quarter Finals,Lebanon,1244,189,48%,24,4,11,10,10,3
