game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Rugby League World Cup  Semi Finals,Australia,1969,234,51%,36,6,8,6,6,4
Rugby League World Cup  Semi Finals,New Zealand,1984,238,49%,32,20,8,4,4,3
