game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Rugby League World Cup  Quarter Finals,Tonga,1668,176,46%,29,7,11,8,8,5
Rugby League World Cup  Quarter Finals,Samoa,1946,236,54%,29,17,5,7,7,6
