game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Womens Rugby League World Cup  Round 3,England Women,1821,226,55%,34,6,9,9,9,1
Womens Rugby League World Cup  Round 3,Papua New Guinea Orchids,971,141,45%,24,0,6,4,4,8
