game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Rugby League Wheelchair World Cup  Round 2,Wales Wheelchair,778,195,59%,30,29,18,18,18,7
Rugby League Wheelchair World Cup  Round 2,USA Wheelchair,438,121,41%,24,13,18,16,16,11
