game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Womens Rugby League World Cup  Final,Australian Jillaroos,2162,216,57%,25,7,10,8,8,4
Womens Rugby League World Cup  Final,Kiwi Ferns,1068,173,43%,23,3,5,5,5,1
