game,team,meters_gained,Passes,Possession,Completed_Sets,Offloads,Errors,Incomplete_Sets,Penalties_Conceded,Goals_Missed
Rugby League Wheelchair World Cup  Round 2,England Wheelchair,876,217,68%,40,23,12,10,10,2
Rugby League Wheelchair World Cup  Round 2,Spain Wheelchair,333,98,32%,15,12,13,8,8,5
