Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
TomHopkins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales/150px/Tom_Hopkins.jpg,Rugby League World Cup  Round 1,Wed 19th October 2022 | 19:30,Wales
KayalIro,0,0,266,1,0,0,0,0,0,0,0,2,0,3,0.14,111,9,0,0,0,0,2,0,0,6,2,0,0,1,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Kayal_Iro.jpg,Rugby League World Cup  Round 1,Wed 19th October 2022 | 19:30,Cook Islands
StevenMarsters,3,1,134,1,0,0,0,0,10,0,0,1,1,3,0.25,49,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Steven_Marsters.jpg,Rugby League World Cup  Round 1,Wed 19th October 2022 | 19:30,Cook Islands
AnthonyGelling,0,0,299,9,0,0,0,0,4,0,0,3,3,4,0.15,111,5,1,0,0,0,1,0,0,20,0,0,0,0,0,1,0,0,0,6,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Anthony_Gelling.jpg,Rugby League World Cup  Round 1,Wed 19th October 2022 | 19:30,Cook Islands
ReubennRennie,0,0,208,2,0,0,0,0,0,0,0,0,0,4,0.25,88,2,0,0,0,0,0,0,0,30,1,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Reubenn_Rennie.jpg,Rugby League World Cup  Round 1,Wed 19th October 2022 | 19:30,Cook Islands
PaulUlberg,0,0,220,1,0,0,0,0,0,0,0,0,0,2,0.11,83,7,0,0,0,0,1,0,0,9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Paul_Ulberg.jpg,Rugby League World Cup  Round 1,Wed 19th October 2022 | 19:30,Cook Islands
EsanMarsters,0,0,214,7,0,0,1,0,0,0,1,4,4,14,0.74,75,6,0,1,0,0,0,0,0,19,0,0,2,4,0,0,1,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Esan_Marsters.jpg,Rugby League World Cup  Round 1,Wed 19th October 2022 | 19:30,Cook Islands
JohnathonFord,0,0,142,0,0,0,0,0,0,1,1,0,0,40,2.5,31,4,0,1,0,0,0,0,0,15,0,0,2,9,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Johnathon_Ford.jpg,Rugby League World Cup  Round 1,Wed 19th October 2022 | 19:30,Cook Islands
PridePetterson-Robati,0,0,43,0,0,0,0,0,0,0,0,0,0,2,0.29,16,3,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Pride_Petterson-Robati.jpg,Rugby League World Cup  Round 1,Wed 19th October 2022 | 19:30,Cook Islands
AaronTeroi,0,0,12,2,0,0,0,0,0,0,0,0,0,42,14,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,1,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Aaron_Teroi.jpg,Rugby League World Cup  Round 1,Wed 19th October 2022 | 19:30,Cook Islands
TepaiMoeroa,0,0,106,0,0,0,0,0,0,0,1,0,0,0,0,38,3,0,0,0,0,0,0,0,45,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Tepai_Moeroa.jpg,Rugby League World Cup  Round 1,Wed 19th October 2022 | 19:30,Cook Islands
DominiquePeyroux,0,0,55,1,0,0,0,0,0,0,0,0,0,2,0.29,19,4,0,0,0,0,0,0,0,32,1,0,0,0,0,0,0,0,2,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Dominique_Peyroux.jpg,Rugby League World Cup  Round 1,Wed 19th October 2022 | 19:30,Cook Islands
ReubenPorter,0,0,42,0,0,0,0,0,0,0,0,0,0,1,0.17,21,0,0,0,0,0,1,0,0,20,0,0,0,0,0,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Reuben_Porter.jpg,Rugby League World Cup  Round 1,Wed 19th October 2022 | 19:30,Cook Islands
ZaneTetevano,0,0,177,0,0,0,0,0,0,0,0,0,0,6,0.35,72,0,0,0,0,0,2,0,0,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Zane_Tetevano.jpg,Rugby League World Cup  Round 1,Wed 19th October 2022 | 19:30,Cook Islands
MakahesiMakatoa,0,0,167,0,0,0,0,0,0,0,0,0,0,8,0.47,50,2,0,0,0,0,0,0,0,32,1,0,0,0,0,0,0,1,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Makahesi_Makatoa.jpg,Rugby League World Cup  Round 1,Wed 19th October 2022 | 19:30,Cook Islands
DavvyMoale,0,0,153,0,0,0,0,0,4,0,1,0,0,0,0,40,5,1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Davvy_Moale.jpg,Rugby League World Cup  Round 1,Wed 19th October 2022 | 19:30,Cook Islands
RuaNgatikaura,0,0,10,1,0,0,0,0,0,1,0,0,0,52,26,5,0,0,0,0,0,0,0,0,19,0,0,1,1,0,0,0,1,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Rua_Ngatikaura.jpg,Rugby League World Cup  Round 1,Wed 19th October 2022 | 19:30,Cook Islands
BradTakairangi,0,0,36,0,0,0,0,0,0,1,0,1,1,10,2.5,11,0,0,1,1,0,0,0,0,6,0,0,0,4,1,1,2,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Brad_Takairangi.jpg,Rugby League World Cup  Round 1,Wed 19th October 2022 | 19:30,Cook Islands
MosesNoovao-McGreal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Moses_Noovao-McGreal.jpg,Rugby League World Cup  Round 1,Wed 19th October 2022 | 19:30,Cook Islands
