Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
GraceField,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Grace_Field.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,England Women
ZoeHarris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Zoe_Harris.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,England Women
MarthaMolowia,0,0,74,5,0,0,0,0,4,0,1,0,0,0,0,18,1,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Martha_Molowia.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,Papua New Guinea Orchids
Lisa MarieAlu,0,0,48,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2,0,0,4,0,0,0,0,0,1,0,0,1,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Lisa_Marie_Alu.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,Papua New Guinea Orchids
ShellieLong,0,0,71,1,0,0,0,0,0,0,0,0,0,5,0.5,23,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,7,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Shellie_Long.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,Papua New Guinea Orchids
BelindaGwasamun,0,0,84,3,0,0,0,0,0,1,0,0,0,4,0.31,25,6,0,1,0,0,1,0,0,15,2,0,0,0,0,0,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Belinda_Gwasamun.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,Papua New Guinea Orchids
AnikaButler,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,2,0,0,14,1,0,0,0,0,0,0,1,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Anika_Butler.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,Papua New Guinea Orchids
SeraKoroi,0,0,43,0,0,0,0,0,0,0,0,0,0,14,2.8,17,1,0,0,0,0,0,0,0,17,0,0,2,6,0,0,1,1,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Sera_Koroi.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,Papua New Guinea Orchids
LilahMalabag,0,0,7,0,0,0,0,0,0,0,0,0,0,17,8.5,0,0,0,0,1,0,0,0,0,9,1,0,1,10,0,0,0,0,0,11,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Lilah_Malabag.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,Papua New Guinea Orchids
ElsieAlbert,0,0,172,0,0,0,0,0,0,0,0,0,0,1,0.05,72,3,0,0,0,0,0,0,0,26,0,0,0,0,0,2,0,0,0,6,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Elsie_Albert.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,Papua New Guinea Orchids
