Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
VickyWhitfield,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,64,4,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,7,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Vicky_Whitfield.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,England Women
PaigeTravis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Paige_Travis.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,England Women
ApiiNicholls,2,1,237,2,0,0,0,0,4,0,1,1,1,8,0.38,76,5,0,0,1,0,3,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Apii_Nicholls.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,Kiwi Ferns
KatelynVaha'akolo,0,0,115,0,0,0,0,0,0,0,1,2,1,7,0.64,34,1,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Katelyn_Vahaakolo.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,Kiwi Ferns
MeleHufanga,0,0,185,1,0,0,0,0,4,1,1,1,1,6,0.4,49,13,1,0,0,0,0,0,0,16,0,0,1,1,0,2,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Mele_Hufanga.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,Kiwi Ferns
PageMcGregor,0,0,86,0,0,0,0,0,0,0,0,0,0,6,0.6,37,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Page_McGregor.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,Kiwi Ferns
MadisonBartlett,0,0,157,2,0,0,0,0,0,0,0,1,1,3,0.19,59,3,0,0,0,0,0,0,0,8,0,0,1,1,0,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Madison_Bartlett.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,Kiwi Ferns
AbigailRoache,0,0,87,0,0,0,0,0,0,0,0,0,0,15,1.07,23,2,0,1,0,0,0,1,0,27,0,0,0,0,0,2,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Abigail_Roache.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,Kiwi Ferns
RaeceneMcGregor,0,0,90,2,0,0,2,0,4,1,1,0,0,36,2.25,13,3,1,0,2,0,0,0,0,10,0,0,1,10,0,0,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Raecene_McGregor.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,Kiwi Ferns
BriannaClark,0,1,121,0,0,0,0,0,4,0,1,0,0,0,0,54,5,1,0,0,1,0,0,0,23,0,0,0,0,0,1,0,1,1,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Brianna_Clark.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,Kiwi Ferns
KrystalRota,0,0,50,6,0,0,0,0,0,0,0,0,0,42,6,17,1,0,0,0,0,0,0,0,33,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Krystal_Rota.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,Kiwi Ferns
AnnettaNu'uausala,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,51,2,0,0,0,0,0,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Annetta_Nuuausala.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,Kiwi Ferns
RoxyMurdoch-Masila,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,46,1,0,0,0,0,0,0,0,29,0,0,0,0,0,1,0,0,0,6,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Roxy_Murdoch-Masila.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,Kiwi Ferns
AmberHall,0,0,94,0,0,0,0,0,0,2,1,2,2,5,0.42,30,6,0,1,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Amber_Hall.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,Kiwi Ferns
GeorgiaHale,0,0,192,0,0,0,0,0,0,0,0,0,0,17,0.74,48,4,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,1,1,1,0,1,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Georgia_Hale.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,Kiwi Ferns
NitaMaynard,0,0,48,8,0,0,0,0,0,1,0,1,0,52,5.78,6,0,0,1,0,0,0,0,0,16,0,0,0,1,0,1,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Nita_Maynard.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,Kiwi Ferns
MyaHill-Moana,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Mya_Hill-Moana.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,Kiwi Ferns
OtesaPule,0,0,69,0,0,0,0,0,4,0,0,0,0,0,0,34,2,1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Otesa_Pule.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,Kiwi Ferns
CharlotteScanlan,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Charlotte_Scanlan.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,Kiwi Ferns
ChristylStowers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Christyl_Stowers.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,Kiwi Ferns
