Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
KaiPearce-Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Kai_Pearce-Paul.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 14:30,England
JosephSuaali'i,0,0,198,0,0,0,0,0,0,0,1,0,0,5,0.33,35,8,0,0,0,0,2,0,0,1,1,0,0,0,0,3,0,0,1,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Joseph_Suaalii.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 14:30,Samoa
HamisoTabuai-Fidow,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Hamiso_Tabuai-Fidow.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 14:30,Samoa
IzackTago,0,0,101,0,0,0,0,0,4,0,0,0,0,1,0.17,15,1,1,0,0,0,0,1,0,15,0,0,0,0,0,1,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Izack_Tago.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 14:30,Samoa
StephenCrichton,1,0,87,0,0,0,0,0,2,0,0,0,0,3,0.43,25,0,0,0,0,0,1,0,0,10,0,0,0,0,0,1,0,0,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Stephen_Crichton.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 14:30,Samoa
BrianTo'o,0,0,138,0,0,0,0,0,0,0,0,0,0,4,0.25,52,2,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Brian_Too.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 14:30,Samoa
JaromeLuai,0,0,76,0,0,0,0,0,0,0,0,1,1,28,2.15,3,4,0,0,0,0,0,0,0,23,0,0,0,1,0,1,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Jarome_Luai.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 14:30,Samoa
AnthonyMilford,0,0,83,1,0,0,4,0,0,0,0,1,1,28,2.15,13,5,0,0,0,0,0,0,0,18,0,0,2,10,0,0,0,0,3,6,0,0,0,1,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Anthony_Milford.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 14:30,Samoa
JoshPapali'i,0,0,76,0,0,0,0,0,0,0,0,1,1,0,0,30,1,0,0,0,0,0,0,0,26,1,0,0,0,0,1,0,0,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Josh_Papalii.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 14:30,Samoa
DannyLevi,0,0,64,6,0,0,0,0,0,1,0,1,1,65,8.13,9,0,0,0,0,0,0,0,0,39,1,0,0,0,0,0,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Danny_Levi.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 14:30,Samoa
JuniorPaulo,0,0,96,0,0,0,0,0,0,0,0,2,2,6,0.46,28,3,0,0,0,1,0,0,0,28,1,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Junior_Paulo.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 14:30,Samoa
JoshAloiai,0,0,49,0,0,0,0,0,0,0,0,0,0,3,0.5,15,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,2,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Josh_Aloiai.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 14:30,Samoa
JaydnSu'a,0,0,126,0,0,0,0,0,0,0,0,1,1,3,0.25,48,3,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Jaydn_Sua.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 14:30,Samoa
BradenHamlin-Uele,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Braden_Hamlin-Uele.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 14:30,Samoa
TyroneMay,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Tyrone_May.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 14:30,Samoa
SpencerLeniu,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,20,0,0,0,0,0,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Spencer_Leniu.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 14:30,Samoa
MartinTaupau,0,0,95,0,0,0,0,0,0,0,0,1,1,2,0.18,37,1,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Martin_Taupau.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 14:30,Samoa
KelmaTuilagi,0,0,88,0,0,0,0,0,0,0,0,2,2,0,0,40,4,0,0,0,0,0,0,0,27,0,0,0,0,0,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Kelma_Tuilagi.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 14:30,Samoa
ChanelHarris-Tavita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Chanel_Harris-Tavita.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 14:30,Samoa
